Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,Congruency,Practice
Human,1,1,1,1,Auditory,TR,0.8,0.8,0.893,1,Training
Human,1,1,1,2,Auditory,TR,0.8,0.8,1.126,0,Training
Human,1,1,1,3,Auditory,TR,2.4,2.4,2.356,1,Training
Human,1,1,1,4,Auditory,TR,2.4,2.4,2.217,1,Training
Human,1,1,1,5,Auditory,TR,2.4,2.4,2.482,0,Training
Human,1,1,1,6,Auditory,TR,2.4,2.4,2.359,0,Training
Human,1,1,1,7,Auditory,TR,0.8,0.8,0.517,0,Training
Human,1,1,1,8,Auditory,TR,0.8,0.8,0.601,1,Training
Human,1,1,2,1,Auditory,TR,0.8,0.8,0.767,0,Testing
Human,1,1,2,2,Auditory,TR,2.4,2.4,1.671,1,Testing
Human,1,1,2,3,Auditory,TR,2.4,2.4,2.419,1,Testing
Human,1,1,2,4,Auditory,TR,0.8,0.8,0.213,0,Testing
Human,1,1,2,5,Auditory,TR,0.8,0.8,0.555,0,Testing
Human,1,1,2,6,Auditory,TR,0.8,0.8,0.697,0,Testing
Human,1,1,2,7,Auditory,TR,0.8,0.8,0.735,1,Testing
Human,1,1,2,8,Auditory,TR,0.8,0.8,0.873,0,Testing
Human,1,1,2,9,Auditory,TR,2.4,2.4,1.437,0,Testing
Human,1,1,2,10,Auditory,TR,2.4,2.4,2.16,0,Testing
Human,1,1,2,11,Auditory,TR,2.4,2.4,2.054,1,Testing
Human,1,1,2,12,Auditory,TR,0.8,0.8,0.919,0,Testing
Human,1,1,2,13,Auditory,TR,0.8,0.8,0.988,0,Testing
Human,1,1,2,14,Auditory,TR,0.8,0.8,0.407,0,Testing
Human,1,1,2,15,Auditory,TR,2.4,2.4,1.573,1,Testing
Human,1,1,2,16,Auditory,TR,0.8,0.8,0.798,1,Testing
Human,1,1,2,17,Auditory,TR,0.8,0.8,0.571,1,Testing
Human,1,1,2,18,Auditory,TR,2.4,2.4,2.06,0,Testing
Human,1,1,2,19,Auditory,TR,0.8,0.8,0.902,1,Testing
Human,1,1,2,20,Auditory,TR,2.4,2.4,1.966,0,Testing
Human,1,1,2,21,Auditory,TR,0.8,0.8,0.716,1,Testing
Human,1,1,2,22,Auditory,TR,2.4,2.4,1.625,0,Testing
Human,1,1,2,23,Auditory,TR,2.4,2.4,1.379,1,Testing
Human,1,1,2,24,Auditory,TR,2.4,2.4,2.462,1,Testing
Human,1,1,2,25,Auditory,TR,0.8,0.8,0.616,1,Testing
Human,1,1,2,26,Auditory,TR,2.4,2.4,1.68,0,Testing
Human,1,1,2,27,Auditory,TR,2.4,2.4,2.485,1,Testing
Human,1,1,2,28,Auditory,TR,2.4,2.4,1.605,1,Testing
Human,1,1,2,29,Auditory,TR,0.8,0.8,0.491,1,Testing
Human,1,1,2,30,Auditory,TR,2.4,2.4,2.251,0,Testing
Human,1,1,2,31,Auditory,TR,2.4,2.4,1.563,0,Testing
Human,1,1,2,32,Auditory,TR,0.8,0.8,0.871,1,Testing
Human,1,1,3,1,Auditory,TR,0.8,0.8,0.413,0,Testing
Human,1,1,3,2,Auditory,TR,0.8,0.8,0.581,0,Testing
Human,1,1,3,3,Auditory,TR,2.4,2.4,2.239,1,Testing
Human,1,1,3,4,Auditory,TR,0.8,0.8,0.908,1,Testing
Human,1,1,3,5,Auditory,TR,0.8,0.8,0.791,1,Testing
Human,1,1,3,6,Auditory,TR,2.4,2.4,2.129,0,Testing
Human,1,1,3,7,Auditory,TR,0.8,0.8,0.911,1,Testing
Human,1,1,3,8,Auditory,TR,2.4,2.4,2.179,0,Testing
Human,1,1,3,9,Auditory,TR,2.4,2.4,1.918,0,Testing
Human,1,1,3,10,Auditory,TR,0.8,0.8,1.01,0,Testing
Human,1,1,3,11,Auditory,TR,0.8,0.8,0.946,0,Testing
Human,1,1,3,12,Auditory,TR,0.8,0.8,0.819,1,Testing
Human,1,1,3,13,Auditory,TR,0.8,0.8,0.982,0,Testing
Human,1,1,3,14,Auditory,TR,2.4,2.4,2.008,1,Testing
Human,1,1,3,15,Auditory,TR,0.8,0.8,1.309,1,Testing
Human,1,1,3,16,Auditory,TR,0.8,0.8,1.097,0,Testing
Human,1,1,3,17,Auditory,TR,2.4,2.4,2.393,0,Testing
Human,1,1,3,18,Auditory,TR,2.4,2.4,2.045,1,Testing
Human,1,1,3,19,Auditory,TR,0.8,0.8,0.826,0,Testing
Human,1,1,3,20,Auditory,TR,2.4,2.4,1.958,0,Testing
Human,1,1,3,21,Auditory,TR,0.8,0.8,0.827,1,Testing
Human,1,1,3,22,Auditory,TR,2.4,2.4,2.038,1,Testing
Human,1,1,3,23,Auditory,TR,2.4,2.4,2.581,0,Testing
Human,1,1,3,24,Auditory,TR,2.4,2.4,2.456,1,Testing
Human,1,1,3,25,Auditory,TR,0.8,0.8,0.909,0,Testing
Human,1,1,3,26,Auditory,TR,2.4,2.4,2.17,0,Testing
Human,1,1,3,27,Auditory,TR,2.4,2.4,1.952,1,Testing
Human,1,1,3,28,Auditory,TR,2.4,2.4,2.358,1,Testing
Human,1,1,3,29,Auditory,TR,0.8,0.8,0.929,1,Testing
Human,1,1,3,30,Auditory,TR,2.4,2.4,2.426,0,Testing
Human,1,1,3,31,Auditory,TR,2.4,2.4,2.189,1,Testing
Human,1,1,3,32,Auditory,TR,0.8,0.8,0.911,1,Testing
Human,1,1,4,1,Auditory,TR,0.8,0.8,0.712,1,Testing
Human,1,1,4,2,Auditory,TR,2.4,2.4,2.061,1,Testing
Human,1,1,4,3,Auditory,TR,0.8,0.8,0.743,1,Testing
Human,1,1,4,4,Auditory,TR,2.4,2.4,1.728,1,Testing
Human,1,1,4,5,Auditory,TR,0.8,0.8,0.951,0,Testing
Human,1,1,4,6,Auditory,TR,0.8,0.8,0.851,1,Testing
Human,1,1,4,7,Auditory,TR,2.4,2.4,2.481,0,Testing
Human,1,1,4,8,Auditory,TR,2.4,2.4,2.271,0,Testing
Human,1,1,4,9,Auditory,TR,2.4,2.4,2.123,1,Testing
Human,1,1,4,10,Auditory,TR,0.8,0.8,0.84,0,Testing
Human,1,1,4,11,Auditory,TR,0.8,0.8,0.854,0,Testing
Human,1,1,4,12,Auditory,TR,0.8,0.8,0.837,1,Testing
Human,1,1,4,13,Auditory,TR,0.8,0.8,1.043,0,Testing
Human,1,1,4,14,Auditory,TR,2.4,2.4,1.76,0,Testing
Human,1,1,4,15,Auditory,TR,2.4,2.4,2.262,0,Testing
Human,1,1,4,16,Auditory,TR,0.8,0.8,1.438,0,Testing
Human,1,1,4,17,Auditory,TR,2.4,2.4,2.203,1,Testing
Human,1,1,4,18,Auditory,TR,2.4,2.4,1.531,0,Testing
Human,1,1,4,19,Auditory,TR,2.4,2.4,1.971,1,Testing
Human,1,1,4,20,Auditory,TR,2.4,2.4,2.272,0,Testing
Human,1,1,4,21,Auditory,TR,2.4,2.4,2.118,1,Testing
Human,1,1,4,22,Auditory,TR,0.8,0.8,1.01,0,Testing
Human,1,1,4,23,Auditory,TR,0.8,0.8,0.912,0,Testing
Human,1,1,4,24,Auditory,TR,0.8,0.8,1.02,1,Testing
Human,1,1,4,25,Auditory,TR,0.8,0.8,0.838,1,Testing
Human,1,1,4,26,Auditory,TR,2.4,2.4,1.484,0,Testing
Human,1,1,4,27,Auditory,TR,0.8,0.8,0.872,1,Testing
Human,1,1,4,28,Auditory,TR,0.8,0.8,1.11,1,Testing
Human,1,1,4,29,Auditory,TR,2.4,2.4,1.984,1,Testing
Human,1,1,4,30,Auditory,TR,2.4,2.4,2.258,1,Testing
Human,1,1,4,31,Auditory,TR,0.8,0.8,1.205,0,Testing
Human,1,1,4,32,Auditory,TR,2.4,2.4,2.836,0,Testing
Human,1,1,5,1,Auditory,TR,2.4,2.4,1.947,1,Testing
Human,1,1,5,2,Auditory,TR,0.8,0.8,0.774,1,Testing
Human,1,1,5,3,Auditory,TR,2.4,2.4,2.325,1,Testing
Human,1,1,5,4,Auditory,TR,0.8,0.8,1.139,0,Testing
Human,1,1,5,5,Auditory,TR,0.8,0.8,0.756,1,Testing
Human,1,1,5,6,Auditory,TR,0.8,0.8,0.961,0,Testing
Human,1,1,5,7,Auditory,TR,2.4,2.4,1.833,1,Testing
Human,1,1,5,8,Auditory,TR,0.8,0.8,0.706,0,Testing
Human,1,1,5,9,Auditory,TR,0.8,0.8,0.805,0,Testing
Human,1,1,5,10,Auditory,TR,2.4,2.4,1.748,1,Testing
Human,1,1,5,11,Auditory,TR,0.8,0.8,0.855,0,Testing
Human,1,1,5,12,Auditory,TR,2.4,2.4,2.328,1,Testing
Human,1,1,5,13,Auditory,TR,0.8,0.8,0.558,1,Testing
Human,1,1,5,14,Auditory,TR,2.4,2.4,2.492,0,Testing
Human,1,1,5,15,Auditory,TR,2.4,2.4,2.828,0,Testing
Human,1,1,5,16,Auditory,TR,2.4,2.4,2.393,1,Testing
Human,1,1,5,17,Auditory,TR,0.8,0.8,0.716,0,Testing
Human,1,1,5,18,Auditory,TR,2.4,2.4,2.135,1,Testing
Human,1,1,5,19,Auditory,TR,2.4,2.4,2.576,0,Testing
Human,1,1,5,20,Auditory,TR,0.8,0.8,1.224,0,Testing
Human,1,1,5,21,Auditory,TR,2.4,2.4,1.836,0,Testing
Human,1,1,5,22,Auditory,TR,0.8,0.8,0.92,1,Testing
Human,1,1,5,23,Auditory,TR,2.4,2.4,2.629,0,Testing
Human,1,1,5,24,Auditory,TR,0.8,0.8,0.993,1,Testing
Human,1,1,5,25,Auditory,TR,2.4,2.4,1.589,1,Testing
Human,1,1,5,26,Auditory,TR,2.4,2.4,2.264,0,Testing
Human,1,1,5,27,Auditory,TR,2.4,2.4,2.002,0,Testing
Human,1,1,5,28,Auditory,TR,2.4,2.4,1.416,0,Testing
Human,1,1,5,29,Auditory,TR,0.8,0.8,0.904,0,Testing
Human,1,1,5,30,Auditory,TR,0.8,0.8,0.954,1,Testing
Human,1,1,5,31,Auditory,TR,0.8,0.8,0.709,1,Testing
Human,1,1,5,32,Auditory,TR,0.8,0.8,0.951,1,Testing
Human,1,1,6,1,Auditory,TR,2.4,2.4,2.144,0,Testing
Human,1,1,6,2,Auditory,TR,0.8,0.8,0.936,1,Testing
Human,1,1,6,3,Auditory,TR,0.8,0.8,0.929,1,Testing
Human,1,1,6,4,Auditory,TR,0.8,0.8,0.903,0,Testing
Human,1,1,6,5,Auditory,TR,2.4,2.4,1.92,0,Testing
Human,1,1,6,6,Auditory,TR,2.4,2.4,2.126,1,Testing
Human,1,1,6,7,Auditory,TR,2.4,2.4,2.903,0,Testing
Human,1,1,6,8,Auditory,TR,2.4,2.4,2.632,0,Testing
Human,1,1,6,9,Auditory,TR,2.4,2.4,2.075,1,Testing
Human,1,1,6,10,Auditory,TR,0.8,0.8,0.654,1,Testing
Human,1,1,6,11,Auditory,TR,2.4,2.4,2.081,1,Testing
Human,1,1,6,12,Auditory,TR,0.8,0.8,1.461,0,Testing
Human,1,1,6,13,Auditory,TR,2.4,2.4,2.286,1,Testing
Human,1,1,6,14,Auditory,TR,0.8,0.8,0.838,0,Testing
Human,1,1,6,15,Auditory,TR,2.4,2.4,2.106,1,Testing
Human,1,1,6,16,Auditory,TR,2.4,2.4,2.196,0,Testing
Human,1,1,6,17,Auditory,TR,2.4,2.4,1.867,0,Testing
Human,1,1,6,18,Auditory,TR,0.8,0.8,1.357,0,Testing
Human,1,1,6,19,Auditory,TR,0.8,0.8,0.958,1,Testing
Human,1,1,6,20,Auditory,TR,0.8,0.8,0.973,0,Testing
Human,1,1,6,21,Auditory,TR,2.4,2.4,1.973,1,Testing
Human,1,1,6,22,Auditory,TR,2.4,2.4,2.023,1,Testing
Human,1,1,6,23,Auditory,TR,2.4,2.4,2.655,0,Testing
Human,1,1,6,24,Auditory,TR,0.8,0.8,1.48,0,Testing
Human,1,1,6,25,Auditory,TR,0.8,0.8,0.877,1,Testing
Human,1,1,6,26,Auditory,TR,2.4,2.4,1.705,1,Testing
Human,1,1,6,27,Auditory,TR,0.8,0.8,1.075,0,Testing
Human,1,1,6,28,Auditory,TR,0.8,0.8,0.878,1,Testing
Human,1,1,6,29,Auditory,TR,0.8,0.8,0.932,0,Testing
Human,1,1,6,30,Auditory,TR,0.8,0.8,0.666,1,Testing
Human,1,1,6,31,Auditory,TR,2.4,2.4,2.11,0,Testing
Human,1,1,6,32,Auditory,TR,0.8,0.8,1.146,1,Testing
Human,1,1,7,1,Auditory,TR,2.4,2.4,2.868,0,Testing
Human,1,1,7,2,Auditory,TR,2.4,2.4,2.382,0,Testing
Human,1,1,7,3,Auditory,TR,0.8,0.8,1.184,1,Testing
Human,1,1,7,4,Auditory,TR,0.8,0.8,1.105,0,Testing
Human,1,1,7,5,Auditory,TR,2.4,2.4,1.851,1,Testing
Human,1,1,7,6,Auditory,TR,2.4,2.4,2.033,1,Testing
Human,1,1,7,7,Auditory,TR,2.4,2.4,2.048,0,Testing
Human,1,1,7,8,Auditory,TR,0.8,0.8,1.134,1,Testing
Human,1,1,7,9,Auditory,TR,2.4,2.4,1.902,0,Testing
Human,1,1,7,10,Auditory,TR,2.4,2.4,2.103,0,Testing
Human,1,1,7,11,Auditory,TR,2.4,2.4,2.377,1,Testing
Human,1,1,7,12,Auditory,TR,2.4,2.4,1.85,1,Testing
Human,1,1,7,13,Auditory,TR,0.8,0.8,1.152,0,Testing
Human,1,1,7,14,Auditory,TR,0.8,0.8,1.189,0,Testing
Human,1,1,7,15,Auditory,TR,2.4,2.4,2.329,1,Testing
Human,1,1,7,16,Auditory,TR,2.4,2.4,1.83,1,Testing
Human,1,1,7,17,Auditory,TR,0.8,0.8,1.242,1,Testing
Human,1,1,7,18,Auditory,TR,2.4,2.4,2.702,1,Testing
Human,1,1,7,19,Auditory,TR,0.8,0.8,1.056,0,Testing
Human,1,1,7,20,Auditory,TR,0.8,0.8,1.039,1,Testing
Human,1,1,7,21,Auditory,TR,2.4,2.4,2.637,0,Testing
Human,1,1,7,22,Auditory,TR,0.8,0.8,1.096,1,Testing
Human,1,1,7,23,Auditory,TR,0.8,0.8,1.409,0,Testing
Human,1,1,7,24,Auditory,TR,0.8,0.8,1.544,0,Testing
Human,1,1,7,25,Auditory,TR,0.8,0.8,0.991,0,Testing
Human,1,1,7,26,Auditory,TR,0.8,0.8,0.965,1,Testing
Human,1,1,7,27,Auditory,TR,0.8,0.8,1.203,1,Testing
Human,1,1,7,28,Auditory,TR,2.4,2.4,2.825,0,Testing
Human,1,1,7,29,Auditory,TR,2.4,2.4,2.068,1,Testing
Human,1,1,7,30,Auditory,TR,2.4,2.4,1.912,0,Testing
Human,1,1,7,31,Auditory,TR,0.8,0.8,1.506,1,Testing
Human,1,1,7,32,Auditory,TR,0.8,0.8,1.029,0,Testing
Human,1,1,8,1,Auditory,TR,0.8,0.8,0.667,1,Testing
Human,1,1,8,2,Auditory,TR,2.4,2.4,2.054,0,Testing
Human,1,1,8,3,Auditory,TR,2.4,2.4,2.263,0,Testing
Human,1,1,8,4,Auditory,TR,0.8,0.8,1.04,1,Testing
Human,1,1,8,5,Auditory,TR,2.4,2.4,1.966,1,Testing
Human,1,1,8,6,Auditory,TR,2.4,2.4,2.43,1,Testing
Human,1,1,8,7,Auditory,TR,0.8,0.8,0.96,0,Testing
Human,1,1,8,8,Auditory,TR,2.4,2.4,2.485,1,Testing
Human,1,1,8,9,Auditory,TR,0.8,0.8,1.173,0,Testing
Human,1,1,8,10,Auditory,TR,2.4,2.4,2.148,1,Testing
Human,1,1,8,11,Auditory,TR,2.4,2.4,2.145,0,Testing
Human,1,1,8,12,Auditory,TR,0.8,0.8,1.01,1,Testing
Human,1,1,8,13,Auditory,TR,2.4,2.4,2.537,1,Testing
Human,1,1,8,14,Auditory,TR,0.8,0.8,1.097,0,Testing
Human,1,1,8,15,Auditory,TR,2.4,2.4,2.385,0,Testing
Human,1,1,8,16,Auditory,TR,0.8,0.8,1.421,0,Testing
Human,1,1,8,17,Auditory,TR,0.8,0.8,1.045,1,Testing
Human,1,1,8,18,Auditory,TR,0.8,0.8,1.083,1,Testing
Human,1,1,8,19,Auditory,TR,2.4,2.4,3.361,0,Testing
Human,1,1,8,20,Auditory,TR,0.8,0.8,1.127,1,Testing
Human,1,1,8,21,Auditory,TR,0.8,0.8,1.34,0,Testing
Human,1,1,8,22,Auditory,TR,2.4,2.4,2.102,1,Testing
Human,1,1,8,23,Auditory,TR,0.8,0.8,1.159,1,Testing
Human,1,1,8,24,Auditory,TR,0.8,0.8,1.141,1,Testing
Human,1,1,8,25,Auditory,TR,0.8,0.8,1.31,0,Testing
Human,1,1,8,26,Auditory,TR,2.4,2.4,2.152,0,Testing
Human,1,1,8,27,Auditory,TR,2.4,2.4,2.023,0,Testing
Human,1,1,8,28,Auditory,TR,0.8,0.8,1.455,0,Testing
Human,1,1,8,29,Auditory,TR,2.4,2.4,2.118,0,Testing
Human,1,1,8,30,Auditory,TR,0.8,0.8,1.485,0,Testing
Human,1,1,8,31,Auditory,TR,2.4,2.4,2.61,1,Testing
Human,1,1,8,32,Auditory,TR,2.4,2.4,2.377,1,Testing
Human,1,1,9,1,Auditory,TR,0.8,0.8,0.975,1,Testing
Human,1,1,9,2,Auditory,TR,2.4,2.4,2.425,1,Testing
Human,1,1,9,3,Auditory,TR,2.4,2.4,2.395,1,Testing
Human,1,1,9,4,Auditory,TR,2.4,2.4,2.448,0,Testing
Human,1,1,9,5,Auditory,TR,2.4,2.4,2.24,1,Testing
Human,1,1,9,6,Auditory,TR,0.8,0.8,1.211,0,Testing
Human,1,1,9,7,Auditory,TR,0.8,0.8,1.026,1,Testing
Human,1,1,9,8,Auditory,TR,2.4,2.4,2.31,0,Testing
Human,1,1,9,9,Auditory,TR,0.8,0.8,1.408,0,Testing
Human,1,1,9,10,Auditory,TR,2.4,2.4,2.614,1,Testing
Human,1,1,9,11,Auditory,TR,0.8,0.8,1.166,1,Testing
Human,1,1,9,12,Auditory,TR,0.8,0.8,1.166,0,Testing
Human,1,1,9,13,Auditory,TR,0.8,0.8,1.059,0,Testing
Human,1,1,9,14,Auditory,TR,2.4,2.4,2.118,0,Testing
Human,1,1,9,15,Auditory,TR,0.8,0.8,1.571,0,Testing
Human,1,1,9,16,Auditory,TR,2.4,2.4,2.018,1,Testing
Human,1,1,9,17,Auditory,TR,0.8,0.8,1.236,0,Testing
Human,1,1,9,18,Auditory,TR,2.4,2.4,2.024,1,Testing
Human,1,1,9,19,Auditory,TR,2.4,2.4,2.37,1,Testing
Human,1,1,9,20,Auditory,TR,2.4,2.4,2.683,0,Testing
Human,1,1,9,21,Auditory,TR,0.8,0.8,1.223,1,Testing
Human,1,1,9,22,Auditory,TR,0.8,0.8,1.064,1,Testing
Human,1,1,9,23,Auditory,TR,0.8,0.8,0.889,0,Testing
Human,1,1,9,24,Auditory,TR,0.8,0.8,1.113,1,Testing
Human,1,1,9,25,Auditory,TR,0.8,0.8,1.013,1,Testing
Human,1,1,9,26,Auditory,TR,2.4,2.4,2.46,0,Testing
Human,1,1,9,27,Auditory,TR,2.4,2.4,2.07,0,Testing
Human,1,1,9,28,Auditory,TR,2.4,2.4,2.121,0,Testing
Human,1,1,9,29,Auditory,TR,0.8,0.8,1.311,0,Testing
Human,1,1,9,30,Auditory,TR,2.4,2.4,2.308,0,Testing
Human,1,1,9,31,Auditory,TR,2.4,2.4,1.814,1,Testing
Human,1,1,9,32,Auditory,TR,0.8,0.8,1.295,1,Testing
Human,1,1,10,1,Auditory,TR,0.8,0.8,0.941,0,Testing
